"parent","child"
"o__Myxococcales","f__Myxococcaceae"
"o__Myxococcales","f__0319-6G20"
"o__Neisseriales","f__Neisseriaceae"
"o__Nitriliruptorales","f__Nitriliruptoraceae"
"o__Nitrosomonadales","f__Nitrosomonadaceae"
"o__Oceanospirillales","f__Oleiphilaceae"
"o__Oceanospirillales","f__Alcanivoracaceae"
"o__Oceanospirillales","f__Halomonadaceae"
"o__Oceanospirillales","f__Oceanospirillaceae"
"o__Oceanospirillales","f__Saccharospirillaceae"
"o__Oceanospirillales","f__Endozoicimonaceae"
"o__Oceanospirillales","f__SUP05"
"o__Opitutales","f__Opitutaceae"
"o__Pasteurellales","f__Pasteurellaceae"
"o__Pedosphaerales","f__Ellin517"
"o__Pirellulales","f__Pirellulaceae"
"o__Procabacteriales","f__Procabacteriaceae"
"o__Pseudomonadales","f__Pseudomonadaceae"
"o__Pseudomonadales","f__Moraxellaceae"
"o__Rhizobiales","f__Brucellaceae"
"o__Rhizobiales","f__Phyllobacteriaceae"
"o__Rhizobiales","f__Rhizobiaceae"
"o__Rhizobiales","f__Hyphomicrobiaceae"
"o__Rhizobiales","f__Methylocystaceae"
"o__Rhizobiales","f__Beijerinckiaceae"
"o__Rhizobiales","f__Bradyrhizobiaceae"
"o__Rhizobiales","f__Methylobacteriaceae"
"o__Rhizobiales","f__Rhodobiaceae"
"o__Rhizobiales","f__Xanthobacteraceae"
"o__Rhizobiales","f__Aurantimonadaceae"
"o__Rhodobacterales","f__Hyphomonadaceae"
"o__Rhodobacterales","f__Rhodobacteraceae"
"o__Rhodocyclales","f__Rhodocyclaceae"
"o__Rhodospirillales","f__Acetobacteraceae"
"o__Rhodospirillales","f__Rhodospirillaceae"
"o__Rickettsiales","f__mitochondria"
"o__Rickettsiales","f__Rickettsiaceae"
"o__Rubrobacterales","f__Rubrobacteraceae"
"o__Solibacterales","f__Solibacteraceae"
"o__Solirubrobacterales","f__Patulibacteraceae"
"o__Solirubrobacterales","f__Solirubrobacteraceae"
"o__Solirubrobacterales","f__Conexibacteraceae"
"o__Sphingobacteriales","f__Sphingobacteriaceae"
"o__Sphingobacteriales","f__Chitinophagaceae"
"o__Sphingobacteriales","f__Flexibacteraceae"
"o__Sphingobacteriales","f__Saprospiraceae"
"o__Sphingobacteriales","f__Flammeovirgaceae"
"o__Sphingobacteriales","f__Cyclobacteriaceae"
"o__Sphingomonadales","f__Sphingomonadaceae"
"o__Sphingomonadales","f__Erythrobacteraceae"
"o__Spirochaetales","f__Spirochaetaceae"
"o__Synechococcales","f__Synechococcaceae"
"o__Synergistales","f__Dethiosulfovibrionaceae"
"o__Synergistales","f__Synergistaceae"
"o__Syntrophobacterales","f__Desulfobacteraceae"
"o__Syntrophobacterales","f__Syntrophobacteraceae"
"o__Thermales","f__Thermaceae"
"o__Thermicanales","f__Thermicanaceae"
"o__Thermotogales","f__Thermotogaceae"
"o__Thiohalorhabdales","f__Thiohalorhabdaceae"
"o__Thiotrichales","f__Piscirickettsiaceae"
"o__Thiotrichales","f__Thiotrichaceae"
"o__Turicibacterales","f__Turicibacteraceae"
"o__Verrucomicrobiales","f__Verrucomicrobiaceae"
"o__Vibrionales","f__Vibrionaceae"
"o__Victivallales","f__Victivallaceae"
"o__WCHB1-41","f__RFP12"
"o__WCHB1-41","f__WCHB1-25"
"o__Xanthomonadales","f__Xanthomonadaceae"
"o__Xanthomonadales","f__Sinobacteraceae"
"o__Z20","f__R4-45B"
"f__Acetobacteraceae","g__Roseomonas"
"f__Acetobacteraceae","g__Acidocella"
"f__Acholeplasmataceae","g__Acholeplasma"
"f__Acholeplasmataceae","g__Candidatus Phytoplasma"
"f__Actinomycetaceae","g__Arcanobacterium"
"f__Actinomycetaceae","g__Actinomyces"
"f__Actinomycetaceae","g__Parascardovia"
"f__Actinomycetaceae","g__Mobiluncus"
"f__Actinomycetaceae","g__Actinobaculum"
"f__Actinomycetaceae","g__Varibaculum"
"f__Aerococcaceae","g__Facklamia"
"f__Aerococcaceae","g__Alkalibacterium"
"f__Aerococcaceae","g__Aerococcus"
"f__Aerococcaceae","g__Abiotrophia"
"f__Aerococcaceae","g__Alloiococcus"
"f__Aeromonadaceae","g__Tolumonas"
"f__Alcaligenaceae","g__Sutterella"
"f__Alcaligenaceae","g__Oligella"
"f__Alcaligenaceae","g__Achromobacter"
"f__Alcanivoracaceae","g__Alcanivorax"
"f__Alicyclobacillaceae","g__Alicyclobacillus"
"f__Alteromonadaceae","g__Cellvibrio"
"f__Alteromonadaceae","g__Salinimonas"
"f__Alteromonadaceae","g__Alteromonas"
"f__Alteromonadaceae","g__Glaciecola"
"f__Alteromonadaceae","g__Spongiibacter"
"f__Anaerolinaceae","g__SHD-231"
"f__Anaeroplasmataceae","g__RFN20"
"f__Bacillaceae","g__Geobacillus"
"f__Bacillaceae","g__Bacillus"
"f__Bacillaceae","g__Anoxybacillus"
"f__Bacillaceae","g__Oceanobacillus"
"f__Bacillaceae","g__Virgibacillus"
"f__Bacteriovoracaceae","g__Bacteriovorax"
"f__Bacteroidaceae","g__Bacteroides"
"f__Bacteroidaceae","g__5-7N15"
"f__Bacteroidaceae","g__BF311"
"f__Bdellovibrionaceae","g__Bdellovibrio"
"f__Bifidobacteriaceae","g__Bifidobacterium"
"f__Bifidobacteriaceae","g__Alloscardovia"
"f__Bifidobacteriaceae","g__Gardnerella"
"f__Bogoriellaceae","g__Georgenia"
"f__Brachyspiraceae","g__Brachyspira"
"f__Bradyrhizobiaceae","g__Balneimonas"
"f__Bradyrhizobiaceae","g__Bradyrhizobium"
"f__Brevibacteriaceae","g__Brevibacterium"
"f__Burkholderiaceae","g__Burkholderia"
"f__Burkholderiaceae","g__Salinispora"
"f__Burkholderiaceae","g__Lautropia"
"f__Campylobacteraceae","g__Campylobacter"
"f__Campylobacteraceae","g__Sulfurospirillum"
"f__Cardiobacteriaceae","g__Cardiobacterium"
"f__Carnobacteriaceae","g__Desemzia"
"f__Carnobacteriaceae","g__Granulicatella"
"f__Carnobacteriaceae","g__Trichococcus"
"f__Caulobacteraceae","g__Brevundimonas"
"f__Caulobacteraceae","g__Phenylobacterium"
"f__Caulobacteraceae","g__Arthrospira"
"f__Caulobacteraceae","g__Mycoplana"
"f__Caulobacteraceae","g__Caulobacter"
"f__Cellulomonadaceae","g__Demequina"
"f__Cellulomonadaceae","g__Actinotalea"
"f__Cellulomonadaceae","g__Cellulomonas"
"f__Cellulomonadaceae","g__Pseudoclavibacter"
"f__Chitinophagaceae","g__Chitinophaga"
"f__Chitinophagaceae","g__Flavisolibacter"
"f__Chlamydiaceae","g__Chlamydia"
"f__Chromatiaceae2","g__Rheinheimera"
"f__Chromatiaceae2","g__Alishewanella"
"f__Chthoniobacteraceae","g__DA101"
"f__Chthoniobacteraceae","g__Candidatus Xiphinematobacter"
"f__Chthoniobacteraceae","g__heteroC45_4W"
"f__Chthonomonadaceae","g__Chthonomonas"
"f__Clostridiaceae","g__Peptoniphilus"
"f__Clostridiaceae","g__Finegoldia"
"f__Clostridiaceae","g__Anaerococcus"
"f__Clostridiaceae","g__Sarcina"
"f__Clostridiaceae","g__Clostridium"
"f__Clostridiaceae","g__Fusibacter"
"f__Clostridiaceae","g__Mogibacterium"
"f__Clostridiaceae","g__Helcococcus"
"f__Clostridiaceae","g__Caloramator"
"f__Clostridiaceae","g__Thermoanaerobacterium"
"f__Comamonadaceae","g__Variovorax"
"f__Comamonadaceae","g__Paucibacter"
"f__Comamonadaceae","g__Comamonas"
"f__Comamonadaceae","g__Methylibium"
"f__Comamonadaceae","g__Rubrivivax"
"f__Comamonadaceae","g__Schlegelella"
"f__Comamonadaceae","g__Tepidimonas"
"f__Comamonadaceae","g__Polaromonas"
"f__Comamonadaceae","g__Lampropedia"
"f__Comamonadaceae","g__Hydrogenophaga"
"f__Comamonadaceae","g__Limnohabitans"
"f__Comamonadaceae","g__RS62"
"f__Comamonadaceae","g__Alicycliphilus"
"f__Comamonadaceae","g__Rhodoferax"
"f__Comamonadaceae","g__Simplicispira"
"f__Comamonadaceae","g__Delftia"
"f__Comamonadaceae","g__Verminephrobacter"
"f__Comamonadaceae","g__Roseateles"
"f__Comamonadaceae","g__Acidovorax"
"f__Comamonadaceae","g__Ramlibacter"
"f__Coprobacillaceae","g__Coprobacillus"
"f__Coprobacillaceae","g__Catenibacterium"
"f__Coprobacillaceae","g__Sharpea"
"f__Coriobacteriaceae","g__Atopobium"
"f__Coriobacteriaceae","g__Slackia"
"f__Coriobacteriaceae","g__Adlercreutzia"
"f__Coriobacteriaceae","g__Eggerthella"
"f__Coriobacteriaceae","g__Collinsella"
"f__Coriobacteriaceae","g__Olsenella"
"f__Corynebacteriaceae","g__Corynebacterium"
"f__Dehalobacteriaceae","g__Dehalobacterium"
"f__Deinococcaceae","g__Deinococcus"
"f__Dermabacteraceae","g__Brachybacterium"
"f__Dermabacteraceae","g__Dermabacter"
"f__Dermacoccaceae","g__Dermacoccus"
"f__Desulfobacteraceae","g__Desulfococcus"
"f__Desulfomicrobiaceae","g__Desulfomicrobium"
"f__Desulfovibrionaceae","g__Desulfovibrio"
"f__Desulfovibrionaceae","g__Bilophila"
"f__Dethiosulfovibrionaceae","g__Pyramidobacter"
"f__Dethiosulfovibrionaceae","g__TG5"
"f__Dietziaceae","g__Dietzia"
"f__Enterobacteriaceae","g__Escherichia"
"f__Enterobacteriaceae","g__Plesiomonas"
"f__Enterobacteriaceae","g__Citrobacter"
"f__Enterobacteriaceae","g__Erwinia"
"f__Enterobacteriaceae","g__Dickeya"
"f__Enterobacteriaceae","g__Klebsiella"
"f__Enterobacteriaceae","g__Trabulsiella"
"f__Enterobacteriaceae","g__Morganella"
"f__Enterobacteriaceae","g__Enterobacter"
"f__Enterobacteriaceae","g__Proteus"
"f__Enterobacteriaceae","g__Sodalis"
"f__Enterobacteriaceae","g__Serratia"
"f__Enterobacteriaceae","g__Providencia"
"f__Enterobacteriaceae","g__Edwardsiella"
"f__Enterobacteriaceae","g__Yersinia"
"f__Enterococcaceae","g__Enterococcus"
"f__Enterococcaceae","g__Vagococcus"
"f__Enterococcaceae","g__Tetragenococcus"
"f__Enterococcaceae","g__Melissococcus"
"f__Erysipelotrichaceae","g__Eubacterium"
"f__Erysipelotrichaceae","g__cc_115"
"f__Erysipelotrichaceae","g__Allobaculum"
"f__Erysipelotrichaceae","g__Bulleidia"
"f__Erysipelotrichaceae","g__Holdemania"
"f__Erythrobacteraceae","g__Erythromicrobium"
"f__Eubacteriaceae","g__Pseudoramibacter"
"f__Eubacteriaceae","g__Eubacterium2"
"f__Eubacteriaceae","g__Anaerofustis"
"f__Exiguobacteraceae","g__Exiguobacterium"
"f__Fimbriimonadaceae","g__Fimbriimonas"
"f__Flammeovirgaceae","g__A4"
"f__Flavobacteriaceae","g__Flavobacterium"
"f__Flavobacteriaceae","g__Bergeyella"
"f__Flavobacteriaceae","g__Sejongia"
"f__Flavobacteriaceae","g__Kaistella"
"f__Flavobacteriaceae","g__Wautersiella"
"f__Flavobacteriaceae","g__Myroides"
"f__Flavobacteriaceae","g__Capnocytophaga"
"f__Flavobacteriaceae","g__Chryseobacterium"
"f__Flexibacteraceae","g__Spirosoma"
"f__Flexibacteraceae","g__Hymenobacter"
"f__Flexibacteraceae","g__Dyadobacter"
"f__Flexibacteraceae","g__Emticicia"
"f__Flexibacteraceae","g__Flectobacillus"
"f__Fusobacteriaceae","g__Fusobacterium"
"f__Gallionellaceae","g__Gallionella"
